Wall time,Step,Value
1542189390.5520155,340,1.5051910850161221e-05
1542189391.15615,341,1.4748667126696091e-05
1542189391.7597957,342,1.502338818681892e-05
1542189392.362274,343,1.4762043065275066e-05
1542189392.9609838,344,1.4189276953402441e-05
1542189393.5662127,345,1.4845812984276563e-05
1542189394.1634595,346,1.5423744116560556e-05
1542189394.767217,347,1.5416555470437743e-05
1542189395.3652742,348,1.4842204109299928e-05
1542189395.9682386,349,1.5537305444013327e-05
1542189396.5675116,350,1.4240552445698995e-05
1542189397.1695895,351,1.4799089512962382e-05
1542189397.7733724,352,1.4826907317910809e-05
1542189398.3734756,353,1.5046894077386241e-05
1542189398.974381,354,1.448408147552982e-05
1542189399.5698628,355,1.466113008063985e-05
1542189400.1703498,356,1.6358042557840236e-05
1542189400.7734427,357,1.5177645764197223e-05
1542189401.3725498,358,1.4439530787058175e-05
1542189401.9705136,359,1.4566289792128373e-05
1542189402.566556,360,1.5123630873858929e-05
1542189403.1704144,361,1.4477359400189016e-05
1542189403.7718236,362,1.4979622392274905e-05
1542189404.3719034,363,1.4460929378401488e-05
1542189404.9704545,364,1.463537228119094e-05
1542189405.5278835,365,1.4658839972980786e-05
1542189406.0892649,366,1.4512436791846994e-05
1542189406.6705246,367,1.4629898032580968e-05
1542189407.254687,368,1.5082796380738728e-05
1542189407.8477163,369,1.4910826394043397e-05
1542189408.424733,370,1.4555620509781875e-05
1542189409.006062,371,1.5132553926378023e-05
1542189409.5832942,372,1.5266374248312786e-05
1542189410.1635563,373,1.4622562048316468e-05
1542189410.7426176,374,1.4775734598515555e-05
1542189411.3328655,375,1.4263958291849121e-05
1542189411.9072058,376,1.4362683941726573e-05
1542189412.483313,377,1.5162237104959786e-05
1542189413.0621858,378,1.457367034163326e-05
1542189413.6420157,379,1.4518186617351603e-05
1542189414.2276597,380,1.466790672566276e-05
1542189414.8055992,381,1.520346268080175e-05
1542189415.3807466,382,1.4602866031054873e-05
1542189415.9970806,383,1.4653656762675382e-05
1542189416.577374,384,1.4503167221846525e-05
1542189417.154836,385,1.5105554666661192e-05
1542189417.7346861,386,1.4602657756768167e-05
1542189418.3111477,387,1.5168126992648467e-05
1542189418.890715,388,1.4636211744800676e-05
1542189419.4716969,389,1.4732095223735087e-05
1542189420.0522563,390,1.4271053260017652e-05
1542189420.6310549,391,1.4502515114145353e-05
1542189421.2105742,392,1.4971887139836326e-05
1542189421.7891493,393,1.4227112842490897e-05
1542189422.3656752,394,1.4888325495121535e-05
1542189422.943501,395,1.4577639376511797e-05
1542189423.5231931,396,1.4714508324686904e-05
1542189424.098789,397,1.4601391740143299e-05
1542189424.6783836,398,1.5043260646052659e-05
1542189425.2581966,399,1.4278620255936403e-05
1542189425.841552,400,1.4657614883617498e-05
1542189426.4209032,401,1.5137596165004652e-05
1542189426.999942,402,1.4850753359496593e-05
1542189427.575349,403,1.4349478988151532e-05
1542189428.1529415,404,1.4436859601119068e-05
1542189428.7320316,405,1.440469168301206e-05
1542189429.3189464,406,1.486690052843187e-05
1542189429.897963,407,1.492311366746435e-05
1542189430.495669,408,1.4223033758753445e-05
1542189431.1263902,409,1.4495309187623207e-05
1542189431.7437203,410,1.4745728549314663e-05
1542189432.3995721,411,1.4262371223594528e-05
1542189433.0585546,412,1.4315678527054843e-05
1542189433.6634986,413,1.5833365978323855e-05
1542189434.3247273,414,1.4072000340092927e-05
1542189434.9878411,415,1.4867081517877523e-05
1542189435.6689622,416,1.4485709471045993e-05
1542189436.3223577,417,1.5268631614162587e-05
